year_month_id,month_nbr,month,year
206011,11,November,2060
206012,12,December,2060
206101,1,January,2061
206102,2,February,2061
206103,3,March,2061
206104,4,April,2061
206105,5,May,2061
206106,6,June,2061
206107,7,July,2061
206108,8,August,2061
206109,9,September,2061
206110,10,October,2061
206111,11,November,2061
206112,12,December,2061
206201,1,January,2062
206202,2,February,2062
206203,3,March,2062
206204,4,April,2062
206205,5,May,2062
206206,6,June,2062
206207,7,July,2062
206208,8,August,2062
206209,9,September,2062
206210,10,October,2062
206211,11,November,2062
206212,12,December,2062
206301,1,January,2063
206302,2,February,2063
206303,3,March,2063
206304,4,April,2063
206305,5,May,2063
206306,6,June,2063
206307,7,July,2063
206308,8,August,2063
206309,9,September,2063
206310,10,October,2063
206311,11,November,2063
206312,12,December,2063
206401,1,January,2064
206402,2,February,2064
206403,3,March,2064
206404,4,April,2064
206405,5,May,2064
206406,6,June,2064
206407,7,July,2064
206408,8,August,2064
206409,9,September,2064
206410,10,October,2064
206411,11,November,2064
206412,12,December,2064
206501,1,January,2065
206502,2,February,2065
206503,3,March,2065
206504,4,April,2065
206505,5,May,2065
206506,6,June,2065
206507,7,July,2065
206508,8,August,2065
206509,9,September,2065
206510,10,October,2065
206511,11,November,2065
206512,12,December,2065
206601,1,January,2066
206602,2,February,2066
206603,3,March,2066
206604,4,April,2066
206605,5,May,2066
206606,6,June,2066
206607,7,July,2066
206608,8,August,2066
206609,9,September,2066
206610,10,October,2066
206611,11,November,2066
206612,12,December,2066
206701,1,January,2067
206702,2,February,2067
206703,3,March,2067
206704,4,April,2067
206705,5,May,2067
206706,6,June,2067
206707,7,July,2067
206708,8,August,2067
206709,9,September,2067
206710,10,October,2067
206711,11,November,2067
206712,12,December,2067
206801,1,January,2068
206802,2,February,2068
206803,3,March,2068
206804,4,April,2068
206805,5,May,2068
206806,6,June,2068
206807,7,July,2068
206808,8,August,2068
206809,9,September,2068
206810,10,October,2068
206811,11,November,2068
206812,12,December,2068
206901,1,January,2069
206902,2,February,2069
206903,3,March,2069
206904,4,April,2069
206905,5,May,2069
206906,6,June,2069
206907,7,July,2069
206908,8,August,2069
206909,9,September,2069
206910,10,October,2069
206911,11,November,2069
206912,12,December,2069
207001,1,January,2070
207002,2,February,2070
207003,3,March,2070
207004,4,April,2070
207005,5,May,2070
207006,6,June,2070
207007,7,July,2070
207008,8,August,2070
207009,9,September,2070
207010,10,October,2070
207011,11,November,2070
207012,12,December,2070
207101,1,January,2071
207102,2,February,2071
207103,3,March,2071
207104,4,April,2071
207105,5,May,2071
207106,6,June,2071
207107,7,July,2071
207108,8,August,2071
207109,9,September,2071
207110,10,October,2071
207111,11,November,2071
207112,12,December,2071
207201,1,January,2072
207202,2,February,2072
207203,3,March,2072
207204,4,April,2072
207205,5,May,2072
207206,6,June,2072
207207,7,July,2072
207208,8,August,2072
207209,9,September,2072
207210,10,October,2072
207211,11,November,2072
207212,12,December,2072
207301,1,January,2073
207302,2,February,2073
207303,3,March,2073
207304,4,April,2073
207305,5,May,2073
207306,6,June,2073
207307,7,July,2073
207308,8,August,2073
207309,9,September,2073
207310,10,October,2073
207311,11,November,2073
207312,12,December,2073
207401,1,January,2074
207402,2,February,2074
207403,3,March,2074
207404,4,April,2074
207405,5,May,2074
207406,6,June,2074
207407,7,July,2074
207408,8,August,2074
207409,9,September,2074
207410,10,October,2074
207411,11,November,2074
207412,12,December,2074
207501,1,January,2075
207502,2,February,2075
207503,3,March,2075
207504,4,April,2075
207505,5,May,2075
207506,6,June,2075
207507,7,July,2075
207508,8,August,2075
207509,9,September,2075
207510,10,October,2075
207511,11,November,2075
207512,12,December,2075
207601,1,January,2076
207602,2,February,2076
207603,3,March,2076
207604,4,April,2076
207605,5,May,2076
207606,6,June,2076
207607,7,July,2076
207608,8,August,2076
207609,9,September,2076
207610,10,October,2076
207611,11,November,2076
207612,12,December,2076
207701,1,January,2077
207702,2,February,2077
207703,3,March,2077
207704,4,April,2077
207705,5,May,2077
207706,6,June,2077
207707,7,July,2077
207708,8,August,2077
207709,9,September,2077
207710,10,October,2077
207711,11,November,2077
207712,12,December,2077
207801,1,January,2078
207802,2,February,2078
207803,3,March,2078
207804,4,April,2078
207805,5,May,2078
207806,6,June,2078
207807,7,July,2078
207808,8,August,2078
207809,9,September,2078
207810,10,October,2078
207811,11,November,2078
207812,12,December,2078
207901,1,January,2079
207902,2,February,2079
207903,3,March,2079
207904,4,April,2079
207905,5,May,2079
207906,6,June,2079
207907,7,July,2079
207908,8,August,2079
207909,9,September,2079
207910,10,October,2079
207911,11,November,2079
207912,12,December,2079
208001,1,January,2080
208002,2,February,2080
208003,3,March,2080
208004,4,April,2080
208005,5,May,2080
208006,6,June,2080
208007,7,July,2080
208008,8,August,2080
208009,9,September,2080
208010,10,October,2080
208011,11,November,2080
208012,12,December,2080
208101,1,January,2081
208102,2,February,2081
208103,3,March,2081
208104,4,April,2081
208105,5,May,2081
208106,6,June,2081
208107,7,July,2081
208108,8,August,2081
208109,9,September,2081
208110,10,October,2081
208111,11,November,2081
208112,12,December,2081
208201,1,January,2082
208202,2,February,2082
208203,3,March,2082
208204,4,April,2082
208205,5,May,2082
208206,6,June,2082
208207,7,July,2082
208208,8,August,2082
208209,9,September,2082
208210,10,October,2082
208211,11,November,2082
208212,12,December,2082
208301,1,January,2083
208302,2,February,2083
208303,3,March,2083
208304,4,April,2083
208305,5,May,2083
208306,6,June,2083
208307,7,July,2083
208308,8,August,2083
208309,9,September,2083
208310,10,October,2083
208311,11,November,2083
208312,12,December,2083
208401,1,January,2084
208402,2,February,2084
208403,3,March,2084
208404,4,April,2084
208405,5,May,2084
208406,6,June,2084
208407,7,July,2084
208408,8,August,2084
208409,9,September,2084
208410,10,October,2084
208411,11,November,2084
208412,12,December,2084
208501,1,January,2085
208502,2,February,2085
208503,3,March,2085
208504,4,April,2085
208505,5,May,2085
208506,6,June,2085
208507,7,July,2085
208508,8,August,2085
208509,9,September,2085
208510,10,October,2085
208511,11,November,2085
208512,12,December,2085
208601,1,January,2086
208602,2,February,2086
208603,3,March,2086
208604,4,April,2086
208605,5,May,2086
208606,6,June,2086
208607,7,July,2086
208608,8,August,2086
208609,9,September,2086
208610,10,October,2086
208611,11,November,2086
208612,12,December,2086
208701,1,January,2087
208702,2,February,2087
208703,3,March,2087
208704,4,April,2087
208705,5,May,2087
208706,6,June,2087
208707,7,July,2087
208708,8,August,2087
208709,9,September,2087
208710,10,October,2087
208711,11,November,2087
208712,12,December,2087
208801,1,January,2088
208802,2,February,2088
208803,3,March,2088
208804,4,April,2088
208805,5,May,2088
208806,6,June,2088
208807,7,July,2088
208808,8,August,2088
208809,9,September,2088
208810,10,October,2088
208811,11,November,2088
208812,12,December,2088
208901,1,January,2089
208902,2,February,2089
208903,3,March,2089
208904,4,April,2089
208905,5,May,2089
208906,6,June,2089
208907,7,July,2089
208908,8,August,2089
208909,9,September,2089
208910,10,October,2089
208911,11,November,2089
208912,12,December,2089
209001,1,January,2090
209002,2,February,2090
209003,3,March,2090
209004,4,April,2090
209005,5,May,2090
209006,6,June,2090
209007,7,July,2090
209008,8,August,2090
209009,9,September,2090
209010,10,October,2090
209011,11,November,2090
209012,12,December,2090
209101,1,January,2091
209102,2,February,2091
209103,3,March,2091
209104,4,April,2091
209105,5,May,2091
209106,6,June,2091
209107,7,July,2091
209108,8,August,2091
209109,9,September,2091
209110,10,October,2091
209111,11,November,2091
209112,12,December,2091
209201,1,January,2092
209202,2,February,2092
209203,3,March,2092
209204,4,April,2092
209205,5,May,2092
209206,6,June,2092
209207,7,July,2092
209208,8,August,2092
209209,9,September,2092
209210,10,October,2092
209211,11,November,2092
209212,12,December,2092
209301,1,January,2093
209302,2,February,2093
209303,3,March,2093
209304,4,April,2093
209305,5,May,2093
209306,6,June,2093
209307,7,July,2093
209308,8,August,2093
209309,9,September,2093
209310,10,October,2093
209311,11,November,2093
209312,12,December,2093
209401,1,January,2094
209402,2,February,2094
209403,3,March,2094
209404,4,April,2094
209405,5,May,2094
209406,6,June,2094
209407,7,July,2094
209408,8,August,2094
209409,9,September,2094
209410,10,October,2094
209411,11,November,2094
209412,12,December,2094
209501,1,January,2095
209502,2,February,2095
209503,3,March,2095
209504,4,April,2095
209505,5,May,2095
209506,6,June,2095
209507,7,July,2095
209508,8,August,2095
209509,9,September,2095
209510,10,October,2095
209511,11,November,2095
209512,12,December,2095
209601,1,January,2096
209602,2,February,2096
209603,3,March,2096
209604,4,April,2096
209605,5,May,2096
209606,6,June,2096
209607,7,July,2096
209608,8,August,2096
209609,9,September,2096
209610,10,October,2096
209611,11,November,2096
209612,12,December,2096
209701,1,January,2097
209702,2,February,2097
209703,3,March,2097
209704,4,April,2097
209705,5,May,2097
209706,6,June,2097
209707,7,July,2097
209708,8,August,2097
209709,9,September,2097
209710,10,October,2097
209711,11,November,2097
209712,12,December,2097
209801,1,January,2098
209802,2,February,2098
209803,3,March,2098
209804,4,April,2098
209805,5,May,2098
209806,6,June,2098
209807,7,July,2098
209808,8,August,2098
209809,9,September,2098
209810,10,October,2098
209811,11,November,2098
209812,12,December,2098
209901,1,January,2099
209902,2,February,2099
209903,3,March,2099
209904,4,April,2099
209905,5,May,2099
209906,6,June,2099
209907,7,July,2099
209908,8,August,2099
209909,9,September,2099
209910,10,October,2099
209911,11,November,2099
209912,12,December,2099
210001,1,January,2100
210002,2,February,2100
210003,3,March,2100
210004,4,April,2100
210005,5,May,2100
210006,6,June,2100
210007,7,July,2100
210008,8,August,2100
210009,9,September,2100
210010,10,October,2100
210011,11,November,2100
210012,12,December,2100
